Class Code,SUM(Message),MINIMUM(Sent Date),MAXIMUM(Sent Date)
TAM7715,1,2015/04/11,2015/04/11
TAN6859,1,2015/04/06,2015/04/06
TAS6996,8,2015/08/20,2015/08/20
TEA1023,2,2015/08/05,2015/08/05
TEA1423,4,2015/08/06,2015/08/06
TEA6915,2,2015/08/05,2015/08/05
TEA9269,1,2015/08/05,2015/08/05
TEC1475,2,2015/07/18,2015/07/18
TEC9210,1,2015/07/18,2015/07/18
THA2971,1,2015/07/25,2015/07/25
THI8627,3,2015/06/02,2015/06/02
TOO2770,1,2015/08/27,2015/08/27
TRA1274,4,2015/08/05,2015/08/05
TRA3891,10,2015/08/24,2015/08/24
TRA4342,4,2015/09/07,2015/09/07
TRA4884,6,2015/08/24,2015/08/24
TRA5293,2,2015/08/05,2015/08/05
TRA5562,7,2015/09/09,2015/09/09
TRI8038,2,2015/07/08,2015/07/08
TS10013,1,2015/07/22,2015/07/22
TS10193,28,2015/09/11,2015/09/11
TS10363,32,2015/09/09,2015/09/09
TS10519,4,2015/01/26,2015/01/26
TS10710,29,2015/09/12,2015/09/12
TS11054,2,2015/08/24,2015/08/24
TS11172,1,2015/07/17,2015/07/17
TS11200,4,2015/08/28,2015/08/28
TS11311,2,2015/03/09,2015/03/09
TS11401,1,2015/07/23,2015/07/23
TS11483,1,2015/07/20,2015/07/20
TS11581,2,2015/09/12,2015/09/12
TS11961,3,2015/08/19,2015/08/19
TS12328,86,2015/02/24,2015/02/24
TS12346,3,2015/02/16,2015/02/16
TS12702,5,2015/09/12,2015/09/12
TS13449,2,2015/07/22,2015/07/22
TS13514,1,2014/12/16,2014/12/16
TS13756,1,2015/07/16,2015/07/16
TS13950,1,2015/09/11,2015/09/11
TS14160,7,2015/08/19,2015/08/19
TS14263,6,2015/09/12,2015/09/12
TS14334,27,2015/09/12,2015/09/12
TS14346,3,2015/09/12,2015/09/12
TS14681,1,2015/08/03,2015/08/03
TS14825,7,2015/09/12,2015/09/12
TS14948,1,2015/09/03,2015/09/03
TS15002,1,2015/01/30,2015/01/30
TS15333,4,2015/08/08,2015/08/08
TS15547,1,2015/03/25,2015/03/25
TS15927,1,2015/07/21,2015/07/21
TS16060,1,2015/05/05,2015/05/05
TS16671,1,2015/03/20,2015/03/20
TS16750,1,2015/04/01,2015/04/01
TS16793,1,2015/07/28,2015/07/28
TS16869,2,2015/07/14,2015/07/14
TS17284,1,2015/03/22,2015/03/22
TS17318,1,2015/07/03,2015/07/03
TS17528,7,2015/09/11,2015/09/11
TS17871,4,2015/09/11,2015/09/11
TS18196,28,2015/09/12,2015/09/12
TS18300,27,2015/09/12,2015/09/12
TS18304,3,2015/08/11,2015/08/11
TS18373,42,2015/09/11,2015/09/11
TS18434,1,2014/11/15,2014/11/15
TS18677,1,2015/09/04,2015/09/04
TS19090,1,2015/04/02,2015/04/02
TS19469,1,2015/04/04,2015/04/04
TS19532,1,2015/05/18,2015/05/18
TS19584,1,2015/04/13,2015/04/13
TS19789,1,2015/01/07,2015/01/07
TS20182,78,2015/02/24,2015/02/24
TS20191,1,2015/05/07,2015/05/07
