Class Code,SUM(Subscriber),MINIMUM(Joined Date)
JAI4793,1,2015/09/01
JAI4865,1,2015/07/17
JAI5442,2,2015/06/17
JAI7996,1,2015/04/23
JAI9332,1,2015/04/24
JAM3745,1,2015/05/29
JAM6765,1,2015/08/17
JAN1581,40,2015/07/10
JAN8782,18,2015/07/30
JAS1998,33,2015/08/20
JAS2846,1,2015/08/10
JAS9719,13,2015/07/27
JAY0362,1,2015/06/25
JAY3151,1,2015/05/29
JAY4873,30,2015/08/22
JAY5836,1,2015/09/11
JAY8032,3,2015/08/27
JES0745,1,2015/08/23
JOG3799,1,2015/08/31
JOS8808,1,2015/09/05
JUL7030,26,2015/08/22
JUM5743,1,2015/07/24
JUM6505,1,2015/06/25
JYO8029,1,2015/04/24
KAL1200,2,2015/04/01
KAM2293,3,2015/09/10
KAN1095,2,2015/09/05
KAN4633,3,2015/07/27
KAN8682,1,2015/05/14
KAP1781,1,2015/07/20
KAR6607,4,2015/09/10
KAR8865,1,2015/05/08
KAT2339,23,2015/07/24
KAT2643,33,2015/07/23
KAT5086,34,2015/07/21
KAU5355,1,2015/06/23
KAV6149,1,2015/08/04
KES3508,1,2015/06/09
KG16404,10,2015/07/25
KHA6443,2,2015/03/23
KHA7163,1,2015/03/21
KHI5268,1,2015/08/26
KHU3331,1,2015/09/11
KHU4439,1,2015/08/12
KHU6082,1,2015/06/09
KNI0170,1,2015/08/06
KNI1816,1,2015/08/06
KNI5227,2,2015/08/06
KNI8134,1,2015/08/15
KOT5764,1,2015/06/30
KRA4098,23,2015/03/30
KRA4489,1,2015/03/24
KRA5614,1,2015/03/24
KRI1804,1,2015/09/08
KRI2128,1,2015/09/05
KUL5405,1,2015/09/01
KUM1713,2,2015/07/10
KUM6205,1,2015/05/06
KUM9083,1,2015/07/10
LAK6349,2,2015/06/17
LAN5810,1,2015/08/10
LAN9959,2,2015/07/23
LAT2346,1,2015/07/05
LAX1501,1,2015/05/08
LAX2413,1,2015/05/08
LEO7289,62,2015/04/06
LIN3975,16,2015/08/22
LLO9252,75,2015/08/22
LOG0296,2,2015/09/05
MAD5371,1,2015/09/03
MAD8797,1,2015/05/20
MAD9134,2,2015/09/08
MAH2287,5,2015/07/12
MAH2636,12,2015/06/15
MAH4727,1,2015/04/14
MAH5560,1,2015/06/29
MAH6826,1,2015/06/15
MAH7981,1,2015/09/11
MAH9376,1,2015/06/15
MAH9975,1,2015/09/12
MAL5319,52,2015/08/21
MAN1310,1,2015/09/07
MAN2131,1,2015/03/26
MAN2228,2,2015/05/05
MAS0532,25,2015/07/24
MAS3600,55,2015/07/16
MAS7644,26,2015/07/23
MAS8213,24,2015/08/07
MAS9279,1,2015/06/27
MAT2052,2,2015/09/04
MEE2330,33,2015/08/24
MEG7654,5,2015/08/23
MEH1713,1,2015/09/03
MEH1718,14,2015/08/04
MEH4730,16,2015/08/26
MEH4772,17,2015/08/04
MEH6212,61,2015/07/10
MEH6362,44,2015/07/23
MEH6767,5,2015/08/04
MEH8582,27,2015/08/04
MEH9367,22,2015/08/04
MIN2120,1,2015/04/06
MIN2954,25,2015/07/15
MIN4546,21,2015/07/15
MIN7228,1,2015/09/08
MIN8580,45,2015/07/15
MIN8992,18,2015/07/15
MIR2554,56,2015/04/07
MIS3428,8,2015/04/21
MIS5536,1,2015/07/27
MIS7008,2,2015/08/11
MIS8736,1,2015/07/27
MIS9991,7,2015/08/09
MOH4177,4,2015/04/23
MOH5661,1,2015/04/12
MOH7960,3,2015/05/01
MOH7981,1,2015/08/21
MON5789,4,2015/07/07
MON6770,2,2015/08/29
MON8362,1,2015/07/03
MOR3022,17,2015/06/03
MRB4945,1,2015/09/07
MRB9419,30,2015/09/05
MRP3022,12,2015/09/07
MRS2204,33,2015/08/31
MRS5478,24,2015/09/11
MSS9752,1,2015/08/14
MUD6577,1,2015/09/04
MUH7229,17,2015/08/20
MUK2818,4,2015/06/29
MUK3515,10,2015/06/27
MUK5423,1,2015/07/03
MUK6144,1,2015/07/10
MUK6866,1,2015/07/04
MUN4685,1,2015/08/18
MUS6865,24,2015/07/24
MUZ3904,2,2015/06/26
MYR9182,22,2015/07/20
NAG4163,1,2015/06/19
NAG9019,1,2015/07/02
NAI4501,20,2015/07/29
NAI6284,1,2015/08/26
NAI6515,31,2015/07/24
NAI8523,18,2015/07/29
NAJ2830,1,2015/08/31
NAL2073,1,2015/08/10
NAN6355,1,2015/09/10
NAT6905,1,2015/06/06
NEH5354,2,2015/08/28
NFI4489,224,2015/05/04
NIG4074,2,2015/07/04
NIL4894,1,2015/04/09
NIL5835,1,2015/04/20
NIT0377,2,2015/08/01
NIT3820,2,2015/06/19
NIT6182,1,2015/07/09
NIV5147,46,2015/07/10
NUR1974,85,2015/07/04
OMK1665,1,2015/09/10
OMK4182,7,2015/08/25
OMK4690,21,2015/08/24
OMK4837,4,2015/08/25
OMK5368,7,2015/08/25
OMK5930,9,2015/08/24
OMK6016,14,2015/08/24
OMK7394,4,2015/08/28
OMK8509,18,2015/08/24
OMK9440,3,2015/08/29
OMK9621,26,2015/08/24
PAD2522,1,2015/07/17
PAL7345,2,2015/06/29
PAM0476,1,2015/08/25
PAN3483,1,2015/08/05
PAN3753,1,2015/06/06
PAN9363,1,2015/07/01
PAR0389,1,2015/04/06
PAR6707,1,2015/07/29
PAT0104,2,2015/07/24
PAT7402,16,2015/09/07
PAW0519,29,2015/07/22
PAW1886,43,2015/07/22
PAW5618,19,2015/07/28
PAW6781,26,2015/07/16
PAW6975,1,2015/04/27
PAW8616,21,2015/07/24
PAY3122,1,2015/08/24
PER2451,20,2015/07/31
PER7162,37,2015/07/31
PER8169,31,2015/08/03
PER8984,26,2015/07/31
PER9284,11,2015/08/03
PER9786,73,2015/07/10
PHY0416,2,2015/04/12
PHY8001,1,2015/04/30
PIY0151,1,2015/04/24
PJ.0307,1,2015/04/24
PLA1813,2,2015/07/07
POO7456,19,2015/09/03
POO9130,14,2015/09/03
POO9958,8,2015/09/09
PRA0218,1,2015/03/24
PRA0701,1,2015/06/24
PRA0866,25,2015/07/24
PRA1114,1,2015/04/28
PRA1656,3,2015/09/04
PRA5882,24,2015/07/24
PRA6200,26,2015/07/24
PRA7248,41,2015/07/23
PRA7283,29,2015/07/24
PRA7869,3,2015/04/22
PRA7921,4,2015/06/18
PRA8153,2,2015/08/03
PRA8403,7,2015/08/27
PRA8445,1,2015/04/29
PRE6966,2,2015/05/05
PRI1283,1,2015/05/18
PRI4567,1,2015/07/31
PRO3980,4,2015/09/04
PUS5351,15,2015/09/04
QUR0947,3,2015/07/02
RAD0689,1,2015/08/06
RAD6942,30,2015/08/13
RAH2302,1,2015/04/14
RAH6929,1,2015/04/14
RAH8177,1,2015/07/21
RAH8329,1,2015/07/01
RAJ2289,41,2015/05/13
RAJ2553,1,2015/07/01
RAJ3824,1,2015/04/10
RAJ7066,30,2015/07/31
RAJ7589,1,2015/04/15
RAJ7645,1,2015/08/26
RAM1313,3,2015/07/17
RAM1531,1,2015/05/24
RAM2842,26,2015/09/11
RAN2930,6,2015/07/02
RAN3983,8,2015/07/01
RAN6182,15,2015/07/01
RAN6976,22,2015/07/01
RAN7480,1,2015/06/30
RAS8460,22,2015/08/06
RAV1214,1,2015/09/01
RAV3005,8,2015/05/31
RAV5120,2,2015/09/11
RAV7104,3,2015/06/10
RAV8687,6,2015/04/02
RAZ2057,2,2015/08/13
RID2316,1,2015/08/31
RIS5335,1,2015/08/22
RIS8306,2,2015/07/15
RIT5293,1,2015/09/05
RIT6013,1,2015/05/06
ROB2752,1,2015/09/06
ROH0346,2,2015/05/04
ROH2567,1,2015/06/12
ROH9053,1,2015/08/27
ROS3427,1,2015/08/30
RUB2726,28,2015/08/29
RUT7279,1,2015/08/03
SAB2361,38,2015/08/24
SAB4225,12,2015/09/05
SAB4307,40,2015/08/24
SAB4974,39,2015/08/24
SAC5969,1,2015/07/21
SAF4841,2,2015/08/17
SAH3454,1,2015/09/07
SAH8994,1,2015/07/04
SAI5313,1,2015/06/19
SAI8088,1,2015/04/22
SAK2487,3,2015/08/26
SAK6093,8,2015/07/13
SAK7315,8,2015/07/17
SAL4137,6,2015/09/03
SAM1114,2,2015/07/03
SAM5865,1,2015/06/01
SAM8982,1,2015/06/01
SAM9478,1,2015/06/15
SAN1931,2,2015/08/18
SAN2755,1,2015/03/30
SAN3346,3,2015/08/05
SAN5079,13,2015/04/19
SAN6617,2,2015/06/18
SAN7484,1,2015/03/25
SAN7787,1,2015/03/21
SAN9671,1,2015/04/09
SAR0763,20,2015/07/04
SAR6240,24,2015/07/12
SAR8148,39,2015/08/27
SAU0150,1,2015/06/19
SAU1544,1,2015/04/26
SAU5966,1,2015/04/12
SAU6697,2,2015/07/30
SAY8597,10,2015/09/04
SCI1342,24,2015/08/06
SCI6229,34,2015/07/27
SCI7597,13,2015/08/05
SEE6366,1,2015/04/08
SEE8292,2,2015/07/17
SER2852,33,2015/08/21
SET2810,9,2015/07/20
SET8649,17,2015/07/17
SET9858,24,2015/07/17
SHA0946,4,2015/07/11
SHA1186,46,2015/07/16
SHA1302,1,2015/08/08
SHA1442,1,2015/06/24
SHA1757,65,2015/07/14
SHA2820,1,2015/08/27
SHA3470,2,2015/08/13
SHA4134,1,2015/03/25
SHA5574,29,2015/08/20
SHA6217,1,2015/08/17
SHA7521,1,2015/08/20
SHA8653,19,2015/09/03
SHA9459,31,2015/07/27
SHE7879,1,2015/08/20
SHI3219,2,2015/04/01
SHI3256,1,2015/06/25
SHI3639,48,2015/08/22
SHI8287,1,2015/08/01
SHI8587,1,2015/09/06
SHI9051,4,2015/09/12
SHI9892,1,2015/06/28
SHO0062,1,2015/09/04
SHO8572,12,2015/08/17
SHO9722,1,2015/08/12
SHR3370,2,2015/07/19
SHR3800,1,2015/04/17
SHR5522,4,2015/04/25
SHR6733,1,2015/08/03
SID1831,1,2015/07/03
SID2805,2,2015/06/12
SID3189,1,2015/06/17
SID5162,1,2015/06/18
SID5908,1,2015/07/02
SID9390,1,2015/06/23
SID9784,1,2015/07/02
SIN0032,26,2015/07/23
SIN5486,20,2015/07/23
SIN6984,22,2015/06/30
SIN8073,30,2015/07/24
SIN9553,40,2015/07/20
SIR1176,20,2015/07/28
SIR5541,23,2015/07/26
SIR5768,21,2015/07/28
SIR7308,13,2015/07/28
SIR7463,31,2015/07/28
SIS9840,4,2015/07/29
SJH1518,9,2015/04/18
SNE9668,3,2015/09/04
SON2310,1,2015/03/25
SON8153,2,2015/06/25
SRE1201,1,2015/09/08
SRE9676,1,2015/05/08
SRI2405,180,2015/03/30
SRI3545,2,2015/08/11
SRI4962,6,2015/08/13
SRI5391,229,2015/04/05
SRI7155,1,2015/04/05
SRI9145,2,2015/04/08
STA3878,38,2015/08/21
STE4332,32,2015/08/24
SUB7870,1,2015/08/10
SUC8016,1,2015/09/10
SUD0825,4,2015/07/30
SUD1011,2,2015/08/06
SUD2439,3,2015/04/10
SUD3602,2,2015/08/06
SUH2242,1,2015/08/24
SUH2249,1,2015/08/24
SUJ5276,1,2015/08/05
SUJ7144,2,2015/08/05
SUJ8674,1,2015/04/27
SUM3206,10,2015/09/02
SUN6270,4,2015/06/04
SUN6700,1,2015/03/26
SUN8591,2,2015/09/04
SUN8749,3,2015/09/05
SUR1058,17,2015/08/25
SUR2150,3,2015/08/25
SUR3140,1,2015/05/08
SUR3328,8,2015/08/26
SUR4098,1,2015/07/17
SUR6913,1,2015/07/16
SUR8086,1,2015/05/02
SUR8805,22,2015/08/22
SUS2289,1,2015/04/03
SWA0283,26,2015/09/03
SWA2777,15,2015/08/27
SWA5202,33,2015/08/29
SWA7452,32,2015/08/25
SWA7550,23,2015/08/25
SWA8008,12,2015/08/20
SWA8446,15,2015/08/21
SWA9739,17,2015/08/31
SWE3009,1,2015/06/18
SYE0346,52,2015/07/31
TAM1118,2,2015/04/21
TAM7715,2,2015/04/11
TAN6859,2,2015/04/06
TAN9631,1,2015/04/06
TAS6996,4,2015/08/17
TEA1023,1,2015/08/05
TEA1423,3,2015/08/06
TEA6915,1,2015/08/05
TEA9269,1,2015/08/05
TEJ7169,1,2015/03/24
THA2971,39,2015/07/23
THA5224,27,2015/07/27
THA5379,36,2015/07/27
THA9656,29,2015/07/27
THI8627,1,2015/05/24
TMT4233,17,2015/06/04
TOO2770,1,2015/08/27
TRA1274,35,2015/07/27
TRA3891,30,2015/07/23
TRA4342,26,2015/07/24
TRA4884,28,2015/07/23
TRA5293,23,2015/08/05
TRA5562,38,2015/07/23
TS10013,67,2015/07/22
TS10193,45,2015/08/04
TS10363,71,2015/04/06
TS10519,5,2015/01/26
TS10710,37,2015/07/31
TS11054,2,2015/08/24
TS11172,56,2015/07/08
TS11200,50,2015/07/28
TS11311,49,2015/02/27
TS11401,1,2015/07/23
TS11483,1,2015/07/20
TS11581,118,2015/08/15
TS11961,3,2015/08/19
TS12328,57,2014/10/04
TS12702,25,2015/09/02
TS12927,1,2015/01/08
TS13514,1,2014/12/16
TS13756,1,2015/07/16
TS13950,21,2015/09/11
TS14160,1,2015/08/19
TS14263,48,2015/09/02
TS14334,28,2015/07/31
TS14346,24,2015/09/02
TS14825,36,2015/09/02
TS14948,1,2015/09/03
TS14996,66,2015/07/17
TS15002,10,2015/02/01
TS15333,1,2015/08/08
TS15462,24,2015/07/29
TS16671,1,2015/03/20
TS16750,1,2015/04/01
TS16869,59,2015/07/11
TS17284,42,2015/03/09
TS17318,2,2015/07/03
TS17528,22,2015/08/19
TS17610,1,2015/01/14
TS17871,51,2015/07/27
TS18196,32,2015/07/31
TS18300,36,2015/07/31
TS18304,2,2015/08/11
TS18373,67,2015/04/07
TS18677,7,2015/09/03
TS19331,24,2015/09/11
TS19469,1,2015/04/04
TS19532,1,2015/05/18
TS19584,2,2015/03/13
TS20027,4,2015/03/12
TS20182,65,2014/10/04
TS20191,1,2015/05/07
TS20301,63,2014/10/01
TS20344,1,2015/05/20
TS20718,21,2015/07/29
TS20949,22,2015/09/02
TS21096,11,2015/08/07
TS21197,48,2015/07/29
TS22437,1,2015/01/24
TS22627,2,2015/02/03
TS22908,7,2015/08/20
TS23253,33,2015/09/01
TS23277,2,2015/08/11
TS23297,1,2015/01/25
TS23315,1,2015/01/26
TS23411,18,2015/01/28
TS23870,30,2015/07/31
TS23971,29,2015/08/05
TS24133,1,2015/08/04
TS24182,46,2015/07/30
TS24207,1,2015/09/08
TS24688,1,2014/10/06
TS24706,7,2015/08/17
TS24950,17,2015/07/11
TS25191,21,2015/07/22
TS25197,42,2015/07/31
TS25663,47,2015/07/29
TS25891,15,2015/09/03
TS25894,1,2015/08/12
TS26127,2,2015/01/30
TS26227,70,2015/07/10
TS26575,2,2015/02/25
TS26897,6,2015/07/24
TS27002,1,2015/07/29
TS27129,69,2015/07/17
TS27154,40,2015/07/27
TS27259,11,2015/08/19
TS27687,1,2015/02/05
TS27762,2,2015/08/22
TS27953,22,2015/02/23
TS28095,16,2015/09/01
TS28132,45,2015/07/29
TS28398,66,2015/06/26
TS28663,8,2015/09/11
TS28664,6,2015/02/02
TS28863,2,2015/08/20
TS29240,7,2015/08/20
TS29568,1,2015/08/13
TS29909,51,2015/07/30
TS30229,1,2015/02/19
TS30250,2,2015/09/07
TS30585,16,2015/08/19
TS30625,19,2015/09/02
TS30653,59,2014/10/04
TS30859,1,2014/10/29
TS30869,4,2015/08/20
TS31079,12,2015/08/19
TS31120,1,2015/04/17
TS31428,1,2015/09/02
TS31658,1,2015/04/06
TS31723,2,2015/03/16
TS31774,34,2015/07/30
TS32105,1,2015/09/12
TS32231,76,2015/04/07
TS32578,28,2015/07/31
TS32815,38,2015/07/31
TS32836,26,2015/07/24
TS32978,2,2015/02/05
TS33219,39,2015/09/08
TS33425,1,2014/08/26
TS33437,1,2014/08/16
TS33637,3,2015/08/07
TS33749,72,2014/10/04
TS33863,3,2015/04/06
TS33901,31,2015/09/02
TS34480,17,2015/09/02
TS35009,45,2015/07/25
TS35495,2,2015/08/01
TS36241,1,2015/06/01
TS36243,35,2015/07/30
TS36302,68,2014/10/04
TS36377,3,2015/02/23
TS36641,11,2015/01/21
TS36718,11,2015/03/12
TS37121,22,2015/02/23
TS37241,2,2015/02/17
TS37316,1,2015/09/04
TS37625,1,2015/01/23
TS37786,1,2015/01/29
TS38228,37,2015/09/07
TS38282,11,2015/07/14
TS38324,40,2015/07/30
TS38392,3,2015/02/23
TS38617,50,2015/07/29
TS38815,10,2015/02/01
TS39102,38,2015/09/02
TS39109,1,2015/09/08
TS39165,44,2015/09/02
TS39506,1,2014/10/06
TS39870,1,2015/07/02
TS40260,26,2015/07/08
TS40677,1,2015/06/26
TS40916,51,2014/10/04
TS41205,1,2015/03/05
TS41324,24,2015/07/24
TS41360,51,2015/01/31
TS41474,28,2015/02/23
TS41784,24,2015/09/11
TS41965,1,2014/12/16
TS42238,15,2015/09/02
TS42545,1,2015/08/24
TS42815,1,2014/11/03
TS42952,1,2014/10/01
TS43130,1,2015/06/27
TS43133,38,2015/09/02
TS43187,1,2014/10/16
TS43511,1,2014/12/16
TS44776,17,2015/09/03
TS45219,14,2015/02/24
TS45240,40,2015/07/31
TS45312,1,2015/01/24
TS45399,38,2015/07/29
TS45426,1,2015/07/20
TS45543,16,2014/07/21
TS45604,36,2015/09/01
TS46145,30,2015/02/01
TS46539,24,2015/09/03
TS46832,27,2015/09/02
TS46985,18,2015/07/29
TS47066,36,2015/08/04
TS47092,1,2015/04/09
TS47203,14,2015/09/02
TS47436,49,2015/07/28
TS47485,253,2015/02/21
TS47664,5,2015/06/06
TS48051,29,2015/07/30
TS48123,2,2014/12/25
TS48256,1,2015/08/11
TS48578,46,2015/07/31
TS48903,1,2015/02/12
TS49398,1,2015/08/19
TS49501,72,2015/04/07
TS49732,61,2015/04/07
TS49905,50,2015/07/28
TS49990,1,2015/07/24
TS50675,1,2015/08/24
TS51501,1,2014/08/16
TS51999,1,2015/07/30
TS52034,81,2015/04/07
TS52099,21,2015/09/02
TS52117,1,2015/08/24
TS52933,65,2015/04/07
TS53042,2,2015/01/30
TS53208,38,2015/04/06
TS53213,2,2015/05/07
TS53252,14,2015/07/14
TS54005,1,2015/08/20
TS54097,1,2015/08/21
TS54177,17,2014/07/21
TS54389,48,2015/07/30
TS54494,9,2015/02/23
TS54710,61,2015/09/02
TS54912,112,2015/04/09
TS54916,1,2015/02/04
TS54935,1,2015/02/24
TS55149,46,2015/07/29
TS55331,1,2015/04/06
TS55393,84,2015/07/03
TS55512,2,2015/02/15
TS55533,34,2015/07/30
TS55971,14,2015/09/03
TS55975,1,2015/03/24
TS56009,46,2015/07/30
TS56131,1,2015/08/20
TS56271,75,2015/04/07
TS56293,18,2015/08/19
TS56426,1,2015/07/11
TS56468,1,2015/07/21
TS56735,34,2015/07/30
TS56820,1,2015/08/20
TS56869,1,2015/02/01
TS56938,1,2015/08/19
TS57228,16,2014/07/21
TS57288,25,2015/09/02
TS57450,33,2015/07/23
TS58116,35,2015/07/08
TS58256,1,2014/07/19
TS58270,2,2015/08/20
TS59258,42,2015/07/24
TS59469,37,2015/07/10
TS59569,1,2014/10/08
TS60146,30,2015/07/30
TS60147,1,2015/09/01
TS60149,4,2015/02/25
TS60372,42,2015/07/31
TS60428,12,2015/07/24
TS60562,59,2015/04/07
TS60870,3,2015/07/16
TS61092,9,2015/02/24
TS61291,12,2015/03/10
TS61454,2,2015/01/23
TS61588,1,2014/12/16
TS61644,56,2015/07/29
TS61751,1,2015/08/19
TS61928,1,2015/08/28
TS62483,1,2015/08/25
TS62606,3,2015/08/20
TS63172,63,2015/07/06
TS63662,1,2015/04/09
TS63693,1,2015/07/08
TS63841,27,2015/08/01
TS63985,48,2015/08/04
TS64683,1,2015/03/27
TS64856,5,2015/03/13
TS64974,37,2015/07/31
TS65123,54,2015/02/21
TS65200,25,2015/09/02
TS65308,1,2015/08/24
TS65344,12,2015/09/02
TS65364,1,2015/06/13
TS65392,20,2015/02/23
TS65429,49,2015/07/30
TS65436,52,2015/07/29
